Formula,Name,Page number
C2H3Cl[g],CHLOROETHENE (GAS),330
C2H5Cl[g],CHLOROETHANE (GAS),330
CHClBr2[g],CHLORODIBROMOMETHANE (GAS),331
CHCl2Br[g],DICHLOROBROMOMETHANE (GAS),332
CH2ClBr[g],CHLOROBROMOMETHANE (GAS),333
CHClBrI[g],CHLOROBROMOIODOMETHANE (GAS),334
CHClI2[g], CHLORODIIODOMETHANE (GAS),335
CHCl2I[g],DICHLOROIODOMETHANE (GAS),336
CH2ClI[g],CHLOROIODOMETHANE (GAS),337
C12H4Cl4O2[g],"2, 3, 7, 8-TETRACHLORODIBENZEDIOXIN",338
C12H4Cl4O2[g],"2, 3, 7, 8-TETRACHLORODIBENZEDIOXIN (GAS)",339
CHF[g],FLUOROMETHYLENE (GAS),340
CHF2[g],DIFLUOROMETHYL (GAS),341
CHF3[g],TRIFLUOROMETHANE (GAS),342
CH2F[g],FLUOROMETHYL (GAS),343
CH2F2[g],DIFLUOROMETHANE (GAS),344
CH3F[g],FLUOROMETHANE (GAS),345
C2HF[g],FLUOROACETYLENE (GAS),346
C2HF3[g],TRIFLUOROETHYLENE (GAS),347
C2H2F2[g],DIFLUOROETHYLENE (GAS),348
"C2H2F2[1,1][g]","1,1-DIFLUOROETHYLENE (GAS)",349
C2H2F2[cis][g],CIS-DIFLUOROETHYLENE (GAS),350
C2H2F2[trans][g],TRANS-DIFLUOROETHYLENE (GAS),351
C2H3F[g],FLUOROETHYLENE (GAS),352
CHFBr2[g],FLUORODIBROMOMETHANE (GAS),353
CHF2Br[g],DIFLUOROBROMOMETHANE (GAS),354
CH2FBr[g],FLUOROBROMOMETHANE (GAS),355
CHFBrI[g],FLUOROBROMOIODOMETHANE (GAS),356
CHFCl[g],FLUOROCHLOROMETHYL (GAS),357
CHFCl2[g],FLUORODICHLOROMETHANE (GAS),358
CHF2Cl[g],DIFLUOROCHLOROMETHANE (GAS),359
CH2FCl[g],FLUOROCHLOROMETHANE (GAS),360
C2HFCl2[g],FLUORODICHLOROETHYLENE (GAS),361
"C2HFCl2[1,1][g]","1,1-FLUORODICHLOROETHYLENE (GAS)",362
C2HFCl2[cis][g],CIS-FLUORODICHLOROETHYLENE (GAS),363
C2HFCl2[trans][g],TRANS-FLUORODICHLOROETHYLENE (GAS),364
